,name,named_after,label,x,y
3520,Dorchester,Dorchester,former administrative territorial entity,50.710833333333,-2.4397222222222
3527,Plovdiv,Plovdiv,seat,42.142086,24.741454
3537,Shiretoko,Shiretoko Peninsula,landform,44.05,145.1
3540,Verbano,Lake Maggiore,landform,46.0980555555556,8.71472222222222
3545,Troja,Troy,location of discovery,39.9575,26.238888888889
3548,Aubignan,Aubignan,territorial collectivity of France,44.099722222222,5.0252777777778
3555,Randa,Randa,LAU 2,46.1,7.7833333333333
3558,Portugal,Portugal,state,38.7,-9.1833333333333
3564,Perth,Perth Observatory,observatory,-32.00781073,116.1357875
3568,Taga,Taga,second-level administrative division,35.2220277777778,136.292166666667
3571,Sambre,Sambre,stream,50.0303,3.8414
3573,Bratislava,Bratislava,city,48.144722222222,17.112777777778
3582,Yatsugatake,Southern Yatsugatake Volcanic Group,landform,35.970833333333,138.37
3589,Okhotsk,Sea of Okhotsk,sea,55150,
3590,Turnov,Turnov,municipality of the Czech Republic,50.587341607858,15.156899388718
3600,Haapavesi,Haapavesi,city or town,64.1375,25.366666666667
3607,Rostovdon,Rostov-on-Don,administrative territorial entity,47.2225,39.71
3614,Ishizuchisan,Mount Ishizuchi,natural geographic object,33.766666666667,133.11666666667
3623,Kushiro,Kushiro,city,42.9848888888889,144.381722222222
3627,Tsurugisan,Mount Tsurugi,natural geographic object,33.85361111,134.09416667
3633,Tsia,Zia people,ethnic group,35.5144,-106.723
3637,Kyogoku,Kyogoku,second-level administrative division,42.8581944444444,140.884111111111
3640,UKSTU,UK Schmidt Telescope,telescope,-31.272230555556,149.07123333333
3643,Rudolfinum,Rudolfinum,architectural structure,50.09,14.4156
3647,Izu,Izu Peninsula,landform,34.9,138.966666666667
3650,Saaremaa,Saaremaa,geographic location,58.416666666667,22.5
3654,Rochefort,Rochefort,city,50.159044,5.22185
3662,Mount Locke,Mount Locke,natural geographic object,30.671388888889,-104.02277777778
3664,Tamashima,Tamashima,former municipality,34.548,133.673944444444
3666,Kitezh,Kitezh,mythical location,56.81916667,45.09166667
3667,Sayany,Sayan Mountains,landform,53.251944444444,94.974444444444
3670,Assesse,Assesse,LAU 2,50.3711,5.0231
3676,Shuya,Shuya,administrative territorial entity,56.85,41.366666666667
3682,Verulamium,Verulamium,location of discovery,51.75,-0.3539
3690,Sansyu-Asuke,Asuke,former municipality,35.1343888888889,137.311944444444
3692,Neunkirchen,Neunkirchen,LAU 2,47.726944444444,16.081666666667
3696,Shikoku,Shikoku,geographic location,33.75,133.5
3700,Spacewatch,Spacewatch,survey,31.962189,-111.60034
3703,Kagamigawa,Kagami River,stream,33.54415,133.56234
3705,Gekko,Gekko Observatory,observatory,35.128526,138.992393
3706,Abashiri,Abashiri,city,44.0206388888889,144.273555555556
3709,Kani,Kani,city,35.4260555555556,137.061333333333
3713,Dunhuang,Dunhuang,county-level division,40.1411111111111,94.6638888888889
3715,Holubov,Holubov,municipality,48.890074142585,14.321093988215
3720,Trisov,Třísov,administrative territorial entity of the Czech Republic,48.8833,14.3469
3722,Tokyotech,Tokyo Institute of Technology,publishing company,35.605,139.683888888889
3728,Biwako,Lake Biwa,lake,35.255,136.08
3731,Aoba,Sendai Castle,fortification,38.252478,140.856156
