name,named_after,sex_or_gender,date_of_birth,date_of_death
Detre,László Detre,male,1906-04-19T00:00:00Z,1974-10-15T00:00:00Z
Borrelly,Alphonse Borrelly,male,1842-12-08T00:00:00Z,1926-02-28T00:00:00Z
Schalen,Carl Schalén,male,1902-01-11T00:00:00Z,1993-12-11T00:00:00Z
Bourgeois,Paul Bourgeois,male,1898-02-13T00:00:00Z,1974-05-11T00:00:00Z
Vinterhansenia,Julie Vinter Hansen,female,1890-07-20T00:00:00Z,1960-07-27T00:00:00Z
Izsak,Imre Izsak,male,1929-02-21T00:00:00Z,1965-04-21T00:00:00Z
Palomaa,Matti Herman Palomaa,male,1871-10-16T00:00:00Z,1947-11-14T00:00:00Z
Tito,Josip Broz,male,1892-05-07T00:00:00Z,1980-05-04T00:00:00Z
Argelander,Friedrich Wilhelm Argelander,male,1799-03-22T00:00:00Z,1875-02-17T00:00:00Z
Bessel,Friedrich Bessel,male,1784-07-22T00:00:00Z,1846-03-17T00:00:00Z
Bauersfelda,Walther Bauersfeld,male,1879-01-01T00:00:00Z,1959-01-01T00:00:00Z
Jarnefelt,Gustaf Järnefelt,male,1901-05-06T00:00:00Z,1989-08-09T00:00:00Z
Kustaanheimo,Paul Kustaanheimo,male,1924-04-12T00:00:00Z,1997-01-01T00:00:00Z
Strattonia,F. J. M. Stratton,male,1881-10-16T00:00:00Z,1960-09-02T00:00:00Z
Fricke,Walter Ernst Fricke,male,1915-04-01T00:00:00Z,1988-03-21T00:00:00Z
Gondolatsch,Friedrich Gondolatsch,male,1904-06-03T00:00:00Z,2003-11-13T00:00:00Z
Alikoski,Heikki A. Alikoski,male,1912-12-05T00:00:00Z,1997-12-28T00:00:00Z
Evita,Eva Perón,female,1919-05-07T00:00:00Z,1952-07-26T00:00:00Z
Cesco,Carlos Ulrrico Cesco,male,1910-11-24T00:00:00Z,1987-11-05T00:00:00Z
Vaisala,Yrjö Väisälä,male,1891-09-06T00:00:00Z,1971-07-21T00:00:00Z
Meyer,Georges Meyer,male,1894-08-05T00:00:00Z,1973-10-01T00:00:00Z
Winifred,Winifred Sawtell Cameron,female,1918-12-03T00:00:00Z,2016-03-29T00:00:00Z
Fabiola,Fabiola of Belgium,female,1928-06-11T00:00:00Z,2014-12-05T00:00:00Z
Kirkwood,Daniel Kirkwood,male,1814-09-27T00:00:00Z,1895-06-11T00:00:00Z
Herrick,Samuel Herrick,male,1911-05-29T00:00:00Z,1975-01-01T00:00:00Z
Thiele,Thorvald N. Thiele,male,1838-12-24T00:00:00Z,1910-09-26T00:00:00Z
Kahrstedt,Albrecht Kahrstedt,male,1897-08-24T00:00:00Z,1971-01-11T00:00:00Z
Tsiolkovskaja,Konstantin Tsiolkovsky,male,1857-09-05T00:00:00Z,1935-09-19T00:00:00Z
Baize,Paul Baize,male,1901-03-11T00:00:00Z,1995-10-06T00:00:00Z
Danjon,André-Louis Danjon,male,1890-04-06T00:00:00Z,1967-04-21T00:00:00Z
Itzigsohn,Miguel Itzigsohn,male,1908-01-01T00:00:00Z,1978-01-01T00:00:00Z
Laugier,Marguerite Laugier,female,1896-09-12T00:00:00Z,1976-10-06T00:00:00Z
